Designator,Quantity,Value,Footprint,LCSC Part #
"C1, C2, ",2,10u,805,C15850
"C3, C5, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, ",15,100nf,402,C1525
"C4, C6, ",2,1u,402,C52923
"C20, ",1,10u,603,C19702
"C21, C22, ",2,2.2u,603,C23630
"C23, C24, ",2,20pf,402,C32949
"D1, ",1,B5819W,SOD-123,C8598
"D2, D3, ",2,Red,603,C2286
"FB1, FB2, ",2,100 @ 100MHz,805,C1015
"R1, ",1,100k,805,C17407
"R2, R3, R8, ",3,220,603,C22962
"R5, R6, ",2,10k,402,C25744
"R7, ",1,1k,1206,C4410
"U1, ",1,AMS1117-3.3,SOT-223-3,C6186
"U2, ",1,STM32F429ZGTx,LQFP-144_20.0x20.0x0.5P,C46525
"Y1, ",1,8MHz,SMD-5032_2P,C115962
